year,day,site,block,nutrient,geno,biomass,count
2013,1,A,1,Control,1,5.7050987547,17
2013,1,A,1,Control,3,6.5628288751,18
2013,1,A,1,Control,5,9.0443733086,16
2013,1,A,1,Treatment,1,3.9567219601,19
2013,1,A,1,Treatment,3,5.1763910507,20
2013,1,A,1,Treatment,5,4.2156899924,19
2013,1,A,2,Control,1,6.7125898236,19
2013,1,A,2,Control,3,8.296499515,22
2013,1,A,2,Control,5,8.2477768373,19
2013,1,A,2,Treatment,1,2.0316368078,21
2013,1,A,2,Treatment,3,5.2874041977,24
2013,1,A,2,Treatment,5,7.4701761668,23
2013,1,A,3,Control,1,5.9758519317,18
2013,1,A,3,Control,3,6.1126492587,22
2013,1,A,3,Control,5,6.5523120444,17
2013,1,A,3,Treatment,1,3.2452881217,19
2013,1,A,3,Treatment,3,5.546342248,18
2013,1,A,3,Treatment,5,6.3900454405,19
2013,1,A,4,Control,1,6.3481712119,23
2013,1,A,4,Control,3,5.9893337965,20
2013,1,A,4,Control,5,5.8853047683,22
2013,1,A,4,Treatment,1,1.9114117663,20
2013,1,A,4,Treatment,3,4.845522091,22
2013,1,A,4,Treatment,5,4.6835979939,19
2013,1,A,5,Control,1,4.8055121526,17
2013,1,A,5,Control,3,6.5406799696,19
2013,1,A,5,Control,5,7.2513046199,24
2013,1,A,5,Treatment,1,2.2379326053,18
2013,1,A,5,Treatment,3,2.4734365564,20
2013,1,A,5,Treatment,5,3.7196298229,19
2013,1,A,6,Control,1,3.5758120508,21
2013,1,A,6,Control,3,5.8482915162,23
2013,1,A,6,Control,5,7.6164314897,25
2013,1,A,6,Treatment,1,0.4494642276,23
2013,1,A,6,Treatment,3,2.7456408829,22
2013,1,A,6,Treatment,5,2.8824785251,22
2013,1,A,7,Control,1,4.4190438048,18
2013,1,A,7,Control,3,6.6899524662,20
2013,1,A,7,Control,5,6.9206536796,19
2013,1,A,7,Treatment,1,3.7451524537,18
2013,1,A,7,Treatment,3,5.2587787544,19
2013,1,A,7,Treatment,5,5.3904667165,19
2013,1,A,8,Control,1,3.3656075166,17
2013,1,A,8,Control,3,5.0430820999,16
2013,1,A,8,Control,5,4.9652569499,18
2013,1,A,8,Treatment,1,4.4394116735,22
2013,1,A,8,Treatment,3,2.9904587978,19
2013,1,A,8,Treatment,5,5.4154212844,24
2013,1,A,9,Control,1,6.6836257499,19
