compound,salinity,group,replicate_number,day,methane_umoles
benzene,brackish,sterile,1,1,NA
benzene,brackish,sterile,2,1,NA
benzene,brackish,sterile,3,1,NA
benzene,brackish,treatment,1,1,31
benzene,brackish,treatment,2,1,24.7
benzene,brackish,treatment,3,1,15.1
benzene,fresh,sterile,1,1,NA
benzene,fresh,sterile,2,1,NA
benzene,fresh,sterile,3,1,NA
benzene,fresh,treatment,1,1,60.6
benzene,fresh,treatment,2,1,33.5
benzene,fresh,treatment,3,1,26.9
benzene,saline,sterile,1,1,NA
benzene,saline,sterile,2,1,NA
benzene,saline,sterile,3,1,NA
benzene,saline,treatment,1,1,15.8
benzene,saline,treatment,2,1,16.9
benzene,saline,treatment,3,1,15.1
hexane,brackish,sterile,1,1,NA
hexane,brackish,sterile,2,1,NA
hexane,brackish,sterile,3,1,NA
hexane,brackish,treatment,1,1,19.2
hexane,brackish,treatment,2,1,20.7
hexane,brackish,treatment,3,1,22.1
hexane,fresh,sterile,1,1,NA
hexane,fresh,sterile,2,1,NA
hexane,fresh,sterile,3,1,NA
hexane,fresh,treatment,1,1,30.8
hexane,fresh,treatment,2,1,30.6
hexane,fresh,treatment,3,1,17
hexane,saline,sterile,1,1,NA
hexane,saline,sterile,2,1,NA
hexane,saline,sterile,3,1,NA
hexane,saline,treatment,1,1,22.8
hexane,saline,treatment,2,1,15.7
hexane,saline,treatment,3,1,16.3
toluene,brackish,sterile,1,1,NA
toluene,brackish,sterile,2,1,NA
toluene,brackish,sterile,3,1,NA
toluene,brackish,treatment,1,1,26.2
toluene,brackish,treatment,2,1,26.9
toluene,brackish,treatment,3,1,22.8
toluene,fresh,sterile,1,1,NA
toluene,fresh,sterile,2,1,NA
toluene,fresh,sterile,3,1,NA
toluene,fresh,treatment,1,1,24.3
toluene,fresh,treatment,2,1,23.2
toluene,fresh,treatment,3,1,21.6
toluene,saline,sterile,1,1,NA
toluene,saline,sterile,2,1,NA
toluene,saline,sterile,3,1,NA
toluene,saline,treatment,1,1,17.5
toluene,saline,treatment,2,1,18.7
toluene,saline,treatment,3,1,25.7
unamended,brackish,media_only,1,1,NA
unamended,brackish,media_only,2,1,NA
unamended,brackish,media_only,3,1,NA
unamended,brackish,unamended,1,1,6.1
unamended,brackish,unamended,2,1,6.6
unamended,brackish,unamended,3,1,17.5
unamended,fresh,media_only,1,1,NA
unamended,fresh,media_only,2,1,NA
unamended,fresh,media_only,3,1,NA
unamended,fresh,unamended,1,1,6.6
unamended,fresh,unamended,2,1,NA
unamended,fresh,unamended,3,1,17.1
unamended,saline,media_only,1,1,NA
unamended,saline,media_only,2,1,NA
unamended,saline,media_only,3,1,NA
unamended,saline,unamended,1,1,12.9
unamended,saline,unamended,2,1,14.5
unamended,saline,unamended,3,1,12
benzene,brackish,sterile,1,10,NA
benzene,brackish,sterile,2,10,NA
benzene,brackish,sterile,3,10,NA
benzene,brackish,treatment,1,10,25.1
benzene,brackish,treatment,2,10,29.9
benzene,brackish,treatment,3,10,14.8
benzene,fresh,sterile,1,10,NA
benzene,fresh,sterile,2,10,NA
benzene,fresh,sterile,3,10,NA
benzene,fresh,treatment,1,10,51.1
benzene,fresh,treatment,2,10,24.4
benzene,fresh,treatment,3,10,18.8
benzene,saline,sterile,1,10,NA
benzene,saline,sterile,2,10,NA
benzene,saline,sterile,3,10,NA
benzene,saline,treatment,1,10,5.6
benzene,saline,treatment,2,10,6.9
benzene,saline,treatment,3,10,4.7
hexane,brackish,sterile,1,10,NA
hexane,brackish,sterile,2,10,NA
hexane,brackish,sterile,3,10,NA
hexane,brackish,treatment,1,10,12.1
hexane,brackish,treatment,2,10,13.5
hexane,brackish,treatment,3,10,15.1
