"day","compound","group","methane_mean"
1,"benzene","treatment",23.6
10,"benzene","treatment",23.2666666666667
62,"benzene","treatment",19.4333333333333
72,"benzene","treatment",25.0333333333333
86,"benzene","treatment",28.4666666666667
102,"benzene","treatment",27.7333333333333
116,"benzene","treatment",27.4833333333333
137,"benzene","treatment",28.1333333333333
151,"benzene","treatment",27.6666666666667
165,"benzene","treatment",16
207,"benzene","treatment",38.9166666666667
242,"benzene","treatment",45.9333333333334
272,"benzene","treatment",49.3166666666666
312,"benzene","treatment",57.2999999999998
358,"benzene","treatment",58.4166666666665
387,"benzene","treatment",63.8666666666667
425,"benzene","treatment",69.3166666666665
466,"benzene","treatment",75.6666666666665
499,"benzene","treatment",75.8000000000002
555,"benzene","treatment",85.1166666666665
1,"hexane","treatment",20.6666666666667
10,"hexane","treatment",13.5666666666667
62,"hexane","treatment",8.96666666666667
72,"hexane","treatment",9.96666666666667
86,"hexane","treatment",11.8666666666667
102,"hexane","treatment",15.0333333333333
116,"hexane","treatment",22.2
137,"hexane","treatment",26.3
151,"hexane","treatment",25.5666666666667
165,"hexane","treatment",29.9666666666667
207,"hexane","treatment",32.5
242,"hexane","treatment",37.1333333333333
272,"hexane","treatment",43.8
312,"hexane","treatment",46.7
358,"hexane","treatment",49.2
387,"hexane","treatment",51.7
425,"hexane","treatment",55.9666666666667
466,"hexane","treatment",59.0333333333333
499,"hexane","treatment",60.3666666666667
555,"hexane","treatment",68.1666666666667
1,"toluene","treatment",23.0333333333333
10,"toluene","treatment",13.3
62,"toluene","treatment",12.5666666666667
72,"toluene","treatment",13.2666666666667
86,"toluene","treatment",13.3833333333333
102,"toluene","treatment",11.1333333333333
116,"toluene","treatment",13
137,"toluene","treatment",15.8
151,"toluene","treatment",15.6333333333333
165,"toluene","treatment",17.8666666666667
207,"toluene","treatment",25.5666666666667
242,"toluene","treatment",34.2666666666667
272,"toluene","treatment",40.1333333333333
312,"toluene","treatment",50.9666666666667
358,"toluene","treatment",53.6666666666667
387,"toluene","treatment",54.3
425,"toluene","treatment",69.1666666666667
466,"toluene","treatment",84
499,"toluene","treatment",104.566666666667
555,"toluene","treatment",132.6
1,"unamended","unamended",11.6
10,"unamended","unamended",5.45
62,"unamended","unamended",2.16666666666667
72,"unamended","unamended",-2.15
86,"unamended","unamended",0.783333333333335
102,"unamended","unamended",-2.25
116,"unamended","unamended",-5.96666666666667
137,"unamended","unamended",2.21666666666667
151,"unamended","unamended",1.08333333333333
165,"unamended","unamended",3.45
207,"unamended","unamended",8.51666666666669
242,"unamended","unamended",13.325
272,"unamended","unamended",19.9666666666667
312,"unamended","unamended",25.15
358,"unamended","unamended",26.475
387,"unamended","unamended",26.95
425,"unamended","unamended",29.7166666666667
466,"unamended","unamended",32.0416666666667
499,"unamended","unamended",34.95
555,"unamended","unamended",38.6833333333334
