compound,salinity,group,day,methane_mean,methane_sd,staff
unamended,brackish,media_only,1,NA,NA,Willy_Wonka
unamended,fresh,media_only,1,NA,NA,Chuck_Norris
unamended,saline,media_only,1,NA,NA,Willy_Wonka
benzene,brackish,sterile,1,NA,NA,Chuck_Norris
hexane,brackish,sterile,1,NA,NA,Willy_Wonka
toluene,brackish,sterile,1,NA,NA,Chuck_Norris
benzene,fresh,sterile,1,NA,NA,Willy_Wonka
hexane,fresh,sterile,1,NA,NA,Chuck_Norris
toluene,fresh,sterile,1,NA,NA,Willy_Wonka
benzene,saline,sterile,1,NA,NA,Chuck_Norris
hexane,saline,sterile,1,NA,NA,Willy_Wonka
toluene,saline,sterile,1,NA,NA,Chuck_Norris
benzene,brackish,treatment,1,23.6,8.00687204843439,Willy_Wonka
hexane,brackish,treatment,1,20.6666666666667,1.45028732785381,Chuck_Norris
toluene,brackish,treatment,1,25.3,2.19317121994613,Willy_Wonka
benzene,fresh,treatment,1,40.3333333333333,17.8589846669214,Chuck_Norris
hexane,fresh,treatment,1,26.1333333333333,7.91033079797131,Willy_Wonka
toluene,fresh,treatment,1,23.0333333333333,1.35769412362775,Chuck_Norris
benzene,saline,treatment,1,15.9333333333333,0.907377172587746,Willy_Wonka
hexane,saline,treatment,1,18.2666666666667,3.93742724800514,Chuck_Norris
toluene,saline,treatment,1,20.6333333333333,4.4286943147313,Willy_Wonka
unamended,brackish,unamended,1,10.0666666666667,6.44230807500956,Chuck_Norris
unamended,fresh,unamended,1,NA,NA,Willy_Wonka
unamended,saline,unamended,1,13.1333333333333,1.26622799421484,Chuck_Norris
unamended,brackish,media_only,10,NA,NA,Willy_Wonka
unamended,fresh,media_only,10,NA,NA,Chuck_Norris
unamended,saline,media_only,10,NA,NA,Willy_Wonka
benzene,brackish,sterile,10,NA,NA,Chuck_Norris
hexane,brackish,sterile,10,NA,NA,Willy_Wonka
toluene,brackish,sterile,10,NA,NA,Chuck_Norris
benzene,fresh,sterile,10,NA,NA,Willy_Wonka
hexane,fresh,sterile,10,NA,NA,Chuck_Norris
toluene,fresh,sterile,10,NA,NA,Willy_Wonka
benzene,saline,sterile,10,NA,NA,Chuck_Norris
hexane,saline,sterile,10,NA,NA,Willy_Wonka
toluene,saline,sterile,10,NA,NA,Chuck_Norris
benzene,brackish,treatment,10,23.2666666666667,7.71513663737288,Willy_Wonka
hexane,brackish,treatment,10,13.5666666666667,1.50111069989303,Chuck_Norris
toluene,brackish,treatment,10,17.6333333333333,1.35030860670194,Willy_Wonka
benzene,fresh,treatment,10,31.4333333333333,17.2604557684128,Chuck_Norris
hexane,fresh,treatment,10,16.0333333333333,8.22090830342568,Willy_Wonka
toluene,fresh,treatment,10,13.3,0.264575131106459,Chuck_Norris
benzene,saline,treatment,10,5.73333333333333,1.1060440015358,Willy_Wonka
hexane,saline,treatment,10,8.6,4.93659801887899,Chuck_Norris
toluene,saline,treatment,10,12.5333333333333,7.24729834720038,Willy_Wonka
unamended,brackish,unamended,10,7.96666666666667,1.45716619962629,Chuck_Norris
unamended,fresh,unamended,10,NA,NA,Willy_Wonka
unamended,saline,unamended,10,2.93333333333333,1.62583311976763,Chuck_Norris
unamended,brackish,media_only,102,NA,NA,Willy_Wonka
unamended,fresh,media_only,102,NA,NA,Chuck_Norris
unamended,saline,media_only,102,NA,NA,Willy_Wonka
benzene,brackish,sterile,102,NA,NA,Chuck_Norris
hexane,brackish,sterile,102,NA,NA,Willy_Wonka
toluene,brackish,sterile,102,NA,NA,Chuck_Norris
benzene,fresh,sterile,102,NA,NA,Willy_Wonka
hexane,fresh,sterile,102,NA,NA,Chuck_Norris
toluene,fresh,sterile,102,NA,NA,Willy_Wonka
benzene,saline,sterile,102,NA,NA,Chuck_Norris
hexane,saline,sterile,102,NA,NA,Willy_Wonka
toluene,saline,sterile,102,NA,NA,Chuck_Norris
benzene,brackish,treatment,102,35.2666666666667,21.6569465376201,Willy_Wonka
hexane,brackish,treatment,102,15.0333333333333,5.93408234972631,Chuck_Norris
toluene,brackish,treatment,102,16.3,11.0394746251803,Willy_Wonka
benzene,fresh,treatment,102,27.7333333333333,14.6534410065804,Chuck_Norris
hexane,fresh,treatment,102,20.5833333333333,27.3643167890838,Willy_Wonka
toluene,fresh,treatment,102,11.1333333333333,8.30501856309384,Chuck_Norris
benzene,saline,treatment,102,-6.23333333333333,0.702376916856849,Willy_Wonka
hexane,saline,treatment,102,0.833333333333334,8.37038430021784,Chuck_Norris
toluene,saline,treatment,102,5.53333333333333,6.08796627235511,Willy_Wonka
unamended,brackish,unamended,102,3.2,0.8,Chuck_Norris
unamended,fresh,unamended,102,NA,NA,Willy_Wonka
unamended,saline,unamended,102,-7.7,2.1,Chuck_Norris
unamended,brackish,media_only,116,NA,NA,Willy_Wonka
unamended,fresh,media_only,116,NA,NA,Chuck_Norris
unamended,saline,media_only,116,NA,NA,Willy_Wonka
benzene,brackish,sterile,116,NA,NA,Chuck_Norris
hexane,brackish,sterile,116,NA,NA,Willy_Wonka
toluene,brackish,sterile,116,NA,NA,Chuck_Norris
benzene,fresh,sterile,116,NA,NA,Willy_Wonka
hexane,fresh,sterile,116,NA,NA,Chuck_Norris
toluene,fresh,sterile,116,NA,NA,Willy_Wonka
benzene,saline,sterile,116,NA,NA,Chuck_Norris
hexane,saline,sterile,116,NA,NA,Willy_Wonka
toluene,saline,sterile,116,NA,NA,Chuck_Norris
benzene,brackish,treatment,116,44.7333333333333,18.147267930279,Willy_Wonka
hexane,brackish,treatment,116,24,8.27103379270089,Chuck_Norris
toluene,brackish,treatment,116,17.5,11.6357208629289,Willy_Wonka
