compound,salinity,c_by_s,day,methane
benzene,fresh,benzene_fresh,1,40.33333333
benzene,brackish,benzene_brackish,1,23.6
benzene,saline,benzene_saline,1,15.93333333
hexane,fresh,hexane_fresh,1,26.13333333
hexane,brackish,hexane_brackish,1,20.66666667
hexane,saline,hexane_saline,1,18.26666667
toluene,fresh,toluene_fresh,1,23.03333333
toluene,brackish,toluene_brackish,1,25.3
toluene,saline,toluene_saline,1,20.63333333
unamended,brackish,unamended_brackish,1,10.06666667
unamended,saline,unamended_saline,1,13.13333333
benzene,fresh,benzene_fresh,10,31.43333333
benzene,brackish,benzene_brackish,10,23.26666667
benzene,saline,benzene_saline,10,5.733333333
hexane,fresh,hexane_fresh,10,16.03333333
hexane,brackish,hexane_brackish,10,13.56666667
hexane,saline,hexane_saline,10,8.6
toluene,fresh,toluene_fresh,10,13.3
toluene,brackish,toluene_brackish,10,17.63333333
toluene,saline,toluene_saline,10,12.53333333
unamended,brackish,unamended_brackish,10,7.966666667
unamended,saline,unamended_saline,10,2.933333333
benzene,fresh,benzene_fresh,62,19.43333333
benzene,brackish,benzene_brackish,62,23.9
benzene,saline,benzene_saline,62,0.5
hexane,fresh,hexane_fresh,62,16.06666667
hexane,brackish,hexane_brackish,62,8.966666667
hexane,saline,hexane_saline,62,3.4
toluene,fresh,toluene_fresh,62,12.56666667
toluene,brackish,toluene_brackish,62,15.66666667
toluene,saline,toluene_saline,62,6.9
unamended,brackish,unamended_brackish,62,5.566666667
unamended,saline,unamended_saline,62,-1.233333333
benzene,fresh,benzene_fresh,72,25.03333333
benzene,brackish,benzene_brackish,72,31.03333333
benzene,saline,benzene_saline,72,-5.9
hexane,fresh,hexane_fresh,72,22.86666667
hexane,brackish,hexane_brackish,72,9.966666667
hexane,saline,hexane_saline,72,0.366666667
toluene,fresh,toluene_fresh,72,13.26666667
toluene,brackish,toluene_brackish,72,20.33333333
toluene,saline,toluene_saline,72,5.6
unamended,brackish,unamended_brackish,72,3.833333333
unamended,saline,unamended_saline,72,-8.133333333
benzene,fresh,benzene_fresh,86,28.46666667
benzene,brackish,benzene_brackish,86,38.16666667
benzene,saline,benzene_saline,86,-1.533333333
hexane,fresh,hexane_fresh,86,22.80833333
hexane,brackish,hexane_brackish,86,11.86666667
hexane,saline,hexane_saline,86,3.133333333
toluene,fresh,toluene_fresh,86,13.38333333
toluene,brackish,toluene_brackish,86,19.46666667
toluene,saline,toluene_saline,86,7.55
unamended,brackish,unamended_brackish,86,4.866666667
unamended,saline,unamended_saline,86,-3.3
benzene,fresh,benzene_fresh,102,27.73333333
benzene,brackish,benzene_brackish,102,35.26666667
benzene,saline,benzene_saline,102,-6.233333333
hexane,fresh,hexane_fresh,102,20.58333333
hexane,brackish,hexane_brackish,102,15.03333333
hexane,saline,hexane_saline,102,0.833333333
toluene,fresh,toluene_fresh,102,11.13333333
toluene,brackish,toluene_brackish,102,16.3
toluene,saline,toluene_saline,102,5.533333333
unamended,brackish,unamended_brackish,102,3.2
unamended,saline,unamended_saline,102,-7.7
benzene,fresh,benzene_fresh,116,27.48333333
benzene,brackish,benzene_brackish,116,44.73333333
benzene,saline,benzene_saline,116,-4.933333333
hexane,fresh,hexane_fresh,116,22.2
hexane,brackish,hexane_brackish,116,24
hexane,saline,hexane_saline,116,1.733333333
toluene,fresh,toluene_fresh,116,13
toluene,brackish,toluene_brackish,116,17.5
toluene,saline,toluene_saline,116,6.933333333
unamended,saline,unamended_saline,116,-5.966666667
benzene,fresh,benzene_fresh,137,28.13333333
benzene,brackish,benzene_brackish,137,56.2
benzene,saline,benzene_saline,137,-4.033333333
hexane,fresh,hexane_fresh,137,26.3
hexane,brackish,hexane_brackish,137,51.86666667
hexane,saline,hexane_saline,137,4.466666667
toluene,fresh,toluene_fresh,137,15.8
toluene,brackish,toluene_brackish,137,25.03333333
toluene,saline,toluene_saline,137,14.1
unamended,brackish,unamended_brackish,137,8.1
unamended,saline,unamended_saline,137,-3.666666667
benzene,fresh,benzene_fresh,151,27.66666667
benzene,brackish,benzene_brackish,151,53.83333333
benzene,saline,benzene_saline,151,-6.5
