year,season,province,park,site,beetle,sex,length,length(mm),width,width(mm),drymass(g),drymass(mg),tarsonemus,trichou,procto,totalmites,total mites p/a,Volume,condition,tarso p/a,tricho p/a,procto p/a
2011,mid,BC,Kootenay,dollyvarden2011,Da1,f,3.3,5.0769230769,1.3,2,0.00523,5.23,0,0,0,0,0,85.06486154,0.7586183492,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da2,f,3.8,5.8461538462,1.9,2.9230769231,0.00625,6.25,0,0,0,0,0,209.23790039,-3.966536898,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da3,f,3.4,5.2307692308,1.4,2.1538461538,0.00554,5.54,1,0,0,1,1,101.64465437,0.3015155656,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da4,f,3.1,4.7692307692,1.2,1.8461538462,0.00338,3.38,0,0,0,0,0,68.088495934,-0.305930503,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da5,f,3.2,4.9230769231,1.3,2,0.00502,5.02,0,0,0,0,0,82.48713846,0.6678827195,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da6,f,2.8,4.3076923077,1.1,1.6923076923,0.00291,2.91,0,0,0,0,0,51.676483918,-0.016590489,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da7,f,4,6.1538461538,1.6,2.4615384615,0.0084,8.4,0,0,0,0,0,156.18866461,0.6379097207,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da8,m,3.7,5.6923076923,1.3,2,0.00591,5.91,0,0,0,0,0,95.375753841,0.9615608692,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da9,f,3.6,5.5384615385,1.4,2.1538461538,0.00589,5.89,0,0,0,0,0,107.62375167,0.3748786841,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da10,f,3.4,5.2307692308,1.3,2,0.00415,4.15,0,0,0,0,0,87.642584619,-0.440646021,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da11,f,2.9,4.4615384615,1.2,1.8461538462,0.00318,3.18,0,0,0,0,0,63.695689755,-0.30268708,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da12,f,2.9,4.4615384615,1.1,1.6923076923,0.003,3,0,0,0,0,0,53.522072631,-0.011980956,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da13,m,2.9,4.4615384615,1.2,1.8461538462,0.00325,3.25,0,0,0,0,0,63.695689755,-0.23268708,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da14,f,3.3,5.0769230769,1.4,2.1538461538,0.00613,6.13,0,0,0,0,0,98.655105705,1.0298340068,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da15,m,2.7,4.1538461538,1.1,1.6923076923,0.00255,2.55,0,0,0,0,0,49.830895204,-0.291200023,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da16,f,3.2,4.9230769231,1.3,2,0.00365,3.65,0,0,0,0,0,82.48713846,-0.702117281,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da17,f,3.5,5.3846153846,1.3,2,0.00538,5.38,0,0,0,0,0,90.220307699,0.6700896088,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da18,m,2.9,4.4615384615,1.2,1.8461538462,0.00294,2.94,0,0,0,0,0,63.695689755,-0.54268708,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da19,f,3.3,5.0769230769,1.3,2,0.00381,3.81,0,0,0,0,0,85.06486154,-0.661381651,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da20,f,2.8,4.3076923077,1,1.5384615385,0.00223,2.23,0,0,0,0,0,42.707837938,-0.281635166,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da21,f,3.2,4.9230769231,1.2,1.8461538462,0.00374,3.74,2,1,0,3,1,70.284899031,-0.047552214,P,P,A
2011,mid,BC,Kootenay,dollyvarden2011,Da22,f,3.5,5.3846153846,1.4,2.1538461538,0.0056,5.6,0,0,0,0,0,104.63420303,0.2231971244,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da23,f,2.7,4.1538461538,1.1,1.6923076923,0.00296,2.96,0,0,0,0,0,49.830895204,0.1187999768,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da24,f,3,4.6153846154,1.2,1.8461538462,0.00276,2.76,2,0,0,2,1,65.892092837,-0.824308791,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da25,f,3.2,4.9230769231,1.3,2,0.00478,4.78,1,0,0,1,1,82.48713846,0.4278827195,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da26,m,3.5,5.3846153846,1.3,2,0.0043,4.3,0,0,0,0,0,90.220307699,-0.409910391,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da27,f,3.5,5.3846153846,1.3,2,0.00481,4.81,4,0,0,4,1,90.220307699,0.1000896088,P,A,A
