Observation,Date,Group,Location_abv,ID,ID_interaction,Weekly_census,Sex,Age
1,26/04/2012,1,hf,553,345,No,F,3
2,26/04/2012,1,hf,575,343,No,F,4
3,26/04/2012,1,hf,345,575,No,F,3
4,26/04/2012,1,hf,343,345,No,F,1
9,26/04/2012,2,hf,575,343,No,F,4
10,26/04/2012,2,hf,345,553,No,F,3
11,26/04/2012,2,hf,343,554,No,F,1
12,26/04/2012,2,hf,553,571,No,F,3
13,26/04/2012,2,hf,554,545,No,M,1
14,26/04/2012,2,hf,571,554,No,F,3
15,26/04/2012,2,hf,545,545,No,F,1
36,4/5/2012,1,hf,554,548,No,M,1
37,4/5/2012,1,hf,545,549,No,F,1
38,4/5/2012,1,hf,548,328,No,M,1
51,4/5/2012,2,hf,549,334,No,F,1
52,4/5/2012,2,hf,328,553,No,F,6
53,4/5/2012,2,hf,334,546,No,F,5
54,4/5/2012,2,hf,553,314,No,F,3
55,4/5/2012,2,hf,546,551,No,M,2
56,4/5/2012,2,hf,314,345,No,F,8
57,4/5/2012,2,hf,551,340,No,F,2
58,4/5/2012,2,hf,345,605,No,F,3
59,4/5/2012,2,hf,340,630,No,F,2
60,4/5/2012,2,hf,605,346,No,F,6
61,4/5/2012,2,hf,630,548,No,F,7
62,4/5/2012,2,hf,346,545,No,M,1
63,4/5/2012,2,hf,548,332,No,M,1
64,4/5/2012,2,hf,545,569,No,F,1
65,4/5/2012,2,hf,332,618,No,F,6
66,4/5/2012,2,hf,569,339,No,F,4
67,4/5/2012,2,hf,618,319,No,F,8
68,4/5/2012,2,hf,339,686,No,,
69,4/5/2012,2,hf,319,575,No,,
70,4/5/2012,2,hf,686,709,No,F,12
71,4/5/2012,2,hf,575,551,No,F,4
72,4/5/2012,2,hf,709,545,No,F,13
77,4/5/2012,3,hf,551,546,No,F,2
78,4/5/2012,3,hf,545,575,No,F,1
79,4/5/2012,3,hf,546,548,No,M,2
80,4/5/2012,3,hf,575,549,No,F,4
89,4/5/2012,4,hf,548,340,No,M,1
90,4/5/2012,4,hf,549,554,No,F,1
91,4/5/2012,4,hf,340,546,No,F,2
92,4/5/2012,4,hf,554,314,No,M,1
93,4/5/2012,4,hf,546,553,No,M,2
94,4/5/2012,4,hf,314,328,No,F,8
95,5/5/2012,1,hf,553,575,No,F,3
96,5/5/2012,1,hf,328,554,No,F,6
97,5/5/2012,1,hf,575,554,No,F,4
98,5/5/2012,1,hf,554,548,No,M,1
101,5/5/2012,1,hf,554,571,No,M,1
102,5/5/2012,1,hf,548,314,No,M,1
103,5/5/2012,1,hf,571,549,No,F,3
104,5/5/2012,1,hf,314,345,No,F,8
105,5/5/2012,1,hf,549,334,No,F,1
106,5/5/2012,1,hf,345,340,No,F,3
107,5/5/2012,1,hf,334,605,No,F,5
108,5/5/2012,1,hf,340,343,No,F,2
109,5/5/2012,1,hf,605,546,No,F,6
110,5/5/2012,1,hf,343,686,No,F,1
111,5/5/2012,1,hf,546,346,No,M,2
112,5/5/2012,1,hf,686,545,No,F,12
