ID,No.,sex,day,Season,Time ,MP,ABS,ORD,Weight,AC,Age,Rep,Lact,Obs,Mother,Father,Ecto,Num,fleas,nits,SM,other,Total,Endo,NUM,Gram,eim,EIM,str,STR,asc,ASC,Comm
7958,1,2,120,2015,1142,A,106,82,340,1,9,14,2,BB,NA,NA,Emg,1,1,400,35,0,36,EMG,1,0.5,0,0,0,0,0,0,NA
7958,0,2,121,2015,1205,A,104,86,350,1,9,14,2,BB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7958,0,2,122,2015,1033,A,104,86,370,1,9,14,2,BB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7958,0,2,123,2015,918,A,120,82,380,1,9,16,2,BB,NA,NA,Post,0,3,60,3,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7958,0,2,125,2015,1201,A,125,108,370,1,9,17,2,TH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7958,0,2,130,2015,1125,A,105,85,440,1,9,17,2,TH,NA,NA,NA,NA,NA,NA,NA,NA,NA,GEST,7,0.41,532,1298,0,0,0,0,NA
7958,0,2,138,2015,1037,A,114,88,430,1,9,17,3,BB,NA,NA,Gest,15,2,15,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7958,0,2,150,2015,1136,A,124,88,400,1,9,17,3,BB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7958,0,2,159,2015,952,A,132,114,430,1,9,17,4,TH,NA,NA,Lac,36,0,0,0,0,0,LAC,36,0.6,60,100,0,0,0,0,NA
7958,0,2,175,2015,1727,A,119,91,420,1,9,17,4,TB,NA,NA,Emb,0,0,0,1,0,1,EMB,0,0.58,12,21,0,0,0,0,NA
A396,1,1,112,2015,1025,A,231,43,580,2,5,4,NA,TB,NA,NA,Prm,5,6,0,0,0,6,PRM,5,0.25,4,16,3,12,0,0,NA
A396,0,1,119,2015,1216,A,235,46,550,2,5,4,NA,TH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A396,0,1,125,2015,1332,A,234,43,535,2,5,4,NA,TB,NA,NA,Pom,18,3,15,0,0,3,POM,18,0.21,2976,14171,0,0,0,0,NA
A396,0,1,137,2015,1045,A,231,49,540,2,5,4,NA,BB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A396,0,1,152,2015,1052,A,221,51,590,2,5,4,NA,TH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A396,0,1,158,2015,958,A,231,45,625,2,5,4,NA,TH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C290,1,1,106,2015,1326,A,134,100,580,1,6,4,NA,TH,NA,NA,NA,NA,10,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C290,0,1,107,2015,1035,A,150,110,580,1,6,4,NA,TH,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C290,0,1,108,2015,1507,A,153,94,600,1,6,4,NA,TH,NA,NA,Prm,2,7,0,0,0,7,PRM,2,0.1,0,0,0,0,1,10,NA
C290,0,1,115,2015,1225,A,117,53,590,1,6,4,NA,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C290,0,1,121,2015,1031,A,164,111,570,1,6,4,NA,BB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C290,0,1,125,2015,1231,A,155,102,580,1,6,4,NA,BB,NA,NA,Pom,19,0,30,20,0,20,POM,19,0.56,1320,2357,0,0,0,0,NA
C290,0,1,137,2015,1110,A,179,106,580,1,6,4,NA,BB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C290,0,1,138,2015,1057,A,156,98,580,1,6,4,NA,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C290,0,1,150,2015,1124,A,120,85,630,1,6,4,NA,BB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C290,0,1,151,2015,1113,A,169,109,640,1,6,4,NA,TH,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C290,0,1,159,2015,1006,A,152,89,680,1,6,4,NA,TH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D012,1,2,121,2015,1010,A,100,109,400,1,8,14,2,BB,NA,NA,Emg,1,0,6,28,0,28,EMG,1,0.44,5,11,0,0,0,0,NA
D012,0,2,124,2015,1251,A,109,113,430,1,8,16,2,BB,NA,NA,Post,0,0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D012,0,2,125,2015,1210,A,120,123,415,1,8,17,2,TH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D012,0,2,131,2015,1058,A,100,109,445,1,8,17,2,TH,NA,NA,NA,NA,NA,NA,NA,NA,NA,GEST,7,0.44,3,7,0,0,0,0,NA
D012,0,2,138,2015,1022,A,102,82,460,1,8,17,3,BB,NA,NA,Gest,14,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D012,0,2,150,2015,1127,A,101,105,435,1,8,17,4,TH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D012,0,2,159,2015,955,A,148,105,420,1,8,17,4,TH,NA,NA,Lac,35,0,0,0,0,0,LAC,35,0.6,40,67,0,0,0,0,NA
D012,0,2,174,2015,1813,A,100,104,460,1,8,17,4,TB,NA,NA,Emb,0,0,0,0,0,0,EMB,0,0.56,13,23,0,0,0,0,NA
D065,1,2,111,2015,1436,A,100,71,470,1,6,13,2,TH,NA,NA,Emg,1,12,0,200,0,212,EMG,1,0.28,392,1400,0,0,0,0,NA
D065,0,2,112,2015,1127,A,96,82,475,1,6,13,2,TH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D065,0,2,113,2015,1228,A,121,80,490,1,6,15,2,TH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D065,0,2,114,2015,1101,A,165,86,470,1,6,16,2,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D065,0,2,115,2015,1126,A,150,92,495,1,6,17,2,TB,NA,NA,Post,1,0,45,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D065,0,2,121,2015,1382,A,104,81,550,1,6,17,2,BB,NA,NA,NA,NA,NA,NA,NA,NA,NA,GEST,7,0.28,143,511,0,0,0,0,NA
D065,0,2,128,2015,1050,A,124,84,560,1,6,17,2,BB,NA,NA,Gest,14,0,10,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D065,0,2,138,2015,1036,A,120,83,520,1,6,17,3,TH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D065,0,2,150,2015,1128,A,124,83,510,1,6,17,4,BB,NA,NA,Lac,36,1,0,0,0,1,LAC,36,0.59,104,176,0,0,0,0,NA
D065,0,2,159,2015,1009,A,148,88,505,1,6,17,4,TH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D065,0,2,165,2015,1544,A,127,84,500,1,6,17,4,TB,NA,NA,Emb,0,4,0,0,0,4,EMB,0,0.6,4,7,0,0,0,0,NA
D074,1,2,117,2015,1009,A,42,10,480,1,6,14,2,TB,NA,NA,Emg,2,10,0,4,0,14,EMG,2,0.42,260,619,0,0,0,0,NA
D074,0,2,118,2015,1239,A,97,60,500,1,6,14,2,TH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D074,0,2,119,2015,1114,A,98,60,495,1,6,16,2,TH,NA,NA,Post,0,5,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D074,0,2,125,2015,1220,A,99,58,540,1,6,17,2,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D074,0,2,127,2015,1250,A,93,61,545,1,6,17,2,TB,NA,NA,Gest,8,0,0,2,0,2,GEST,8,0.42,20736,49371,0,0,0,0,NA
D074,0,2,139,2015,1059,A,75,50,510,1,6,17,3,TH,NA,NA,Lac,20,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D074,0,2,150,2015,1101,A,93,62,530,1,6,17,3,BB,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D074,0,2,160,2015,1001,A,108,47,570,1,6,17,5,TB,NA,NA,Lost,41,2,0,0,0,2,LOST,41,0.54,3339,6183,0,0,0,0,NA
D128,1,2,109,2015,1117,A,106,31,460,1,5,13,2,TH,D074,A385,Emg,1,1,0,0,0,1,EMG,1,0.4,2,5,0,0,0,0,NA
D128,0,2,111,2015,1244,A,94,13,500,1,5,15,2,TH,D074,A385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D128,0,2,112,2015,1127,A,99,74,500,1,5,16,2,TB,D074,A385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D128,0,2,113,2015,1245,A,95,36,520,1,5,17,2,TB,D074,A385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D128,0,2,114,2015,1154,A,104,35,505,1,5,17,2,TB,D074,A385,Post,2,0,25,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D128,0,2,117,2015,1513,A,30,10,550,1,5,17,2,TH,D074,A385,NA,NA,NA,NA,NA,NA,NA,GEST,5,0.48,90,188,0,0,0,0,WWx7
D128,0,2,124,2015,1101,A,106,37,590,1,5,17,2,BB,D074,A385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D128,0,2,128,2015,1151,A,132,26,590,1,5,17,2,BB,D074,A385,Gest,16,0,10,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D128,0,2,138,2015,1009,A,105,35,540,1,5,17,4,TB,D074,A385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D128,0,2,150,2015,1036,A,105,32,510,1,5,17,4,TH,D074,A385,Lac,39,0,0,0,0,0,LAC,39,0.61,8,13,3,5,0,0,NA
D128,0,2,160,2015,955,A,126,35,520,1,5,17,4,TB,D074,A385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D128,0,2,164,2015,1100,A,105,31,500,1,5,17,4,TH,D074,A385,Emb,3,1,0,5,0,6,EMB,3,0.6,8,13,12,20,0,0,NA
D129,1,2,114,2015,1159,A,102,38,390,1,5,13,2,TB,D074,A385,Emg,0,2,65,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D129,0,2,115,2015,1009,A,99,37,390,1,5,14,2,TB,D074,A385,NA,NA,NA,NA,NA,NA,NA,EMG,1,0.23,109,474,2,9,40,174,NA
D129,0,2,116,2015,1217,A,70,40,415,1,5,14,2,TB,D074,A385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D129,0,2,117,2015,1010,A,55,10,435,1,5,16,2,TH,D074,A385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D129,0,2,118,2015,1105,A,107,36,450,1,5,17,2,TH,D074,A385,Post,1,16,100,1,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D129,0,2,125,2015,1053,A,96,43,515,1,5,17,2,TH,D074,A385,NA,NA,NA,NA,NA,NA,NA,GEST,8,0.39,84,215,0,0,0,0,NA
D129,0,2,138,2015,1009,A,100,29,550,1,5,17,3,TH,D074,A385,Gest,21,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D129,0,2,149,2015,1110,A,77,50,530,1,5,17,4,TH,D074,A385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D129,0,2,160,2015,950,A,107,24,535,1,5,17,4,TH,D074,A385,Lac,43,0,0,0,0,0,LAC,43,0.54,84,156,0,0,0,0,NA
D129,0,2,167,2015,1353,A,99,29,520,1,5,17,4,TB,D074,A385,Emb,0,1,0,0,0,1,EMB,0,0.46,3,7,0,0,0,0,NA
D131,1,2,121,2015,1301,A,72,108,440,1,5,13,2,TH,D012,C820,Emg,2,2,5,1,0,3,EMG,2,0.34,9,26,0,0,0,0,NA
D131,0,2,122,2015,958,A,98,114,450,1,5,14,2,BB,D012,C820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D131,0,2,123,2015,1113,A,100,114,450,1,5,15,2,BB,D012,C820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D131,0,2,124,2015,1553,A,96,106,440,1,5,16,2,TB,D012,C820,Post,0,5,12,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D131,0,2,125,2015,1148,A,75,113,440,1,5,17,2,TH,D012,C820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D131,0,2,131,2015,1047,A,75,107,505,1,5,17,2,TH,D012,C820,NA,NA,NA,NA,NA,NA,NA,GEST,7,0.57,261,458,0,0,0,0,NA
D131,0,2,139,2015,1146,A,74,112,480,1,5,17,3,TB,D012,C820,Gest,15,2,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D131,0,2,149,2015,1147,A,70,94,480,1,5,17,4,TH,D012,C820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D131,0,2,160,2015,1047,A,99,125,480,1,5,17,4,TB,D012,C820,Lac,36,0,0,0,0,0,LAC,36,0.5,13,26,0,0,0,0,NA
D131,0,2,175,2015,1551,A,75,104,500,1,5,17,4,TB,D012,C820,Emb,0,1,0,0,0,1,EMB,0,0.68,0,0,0,0,0,0,NA
D132,1,2,109,2015,1501,A,70,54,460,1,5,13,2,TH,D012,C820,Emg,0,2,0,0,0,2,EMG,0,0.4,1539,3848,0,0,2,5,NA
D132,0,2,111,2015,1436,A,95,66,490,1,5,15,2,TB,D012,C820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D132,0,2,112,2015,1133,A,96,73,480,1,5,15,2,TH,D012,C820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
