BBID,BTID,BLID,species,length_mm,caste,pass,replicate,lat,lon,locality,elevation,trapStartDay,trapStartMonth,trapEndDay,trapEndMonth,trapDeployedHours,Canola2015_Adjacent,Canola2014_100m,Cereals2014_100m,Pulses2014_100m,PastureForageCrop2014_100m,NativeGrassland2014_100m,Water2014_100m,Urban2014_100m,Shrubland2014_100m,Forest2014_100m,Wetland2014_100m,Canola2014_250m,Cereals2014_250m,Pulses2014_250m,PastureForageCrop2014_250m,NativeGrassland2014_250m,Water2014_250m,Urban2014_250m,Shrubland2014_250m,Forest2014_250m,Wetland2014_250m,Canola2014_500m,Cereals2014_500m,Pulses2014_500m,PastureForageCrop2014_500m,NativeGrassland2014_500m,Water2014_500m,Urban2014_500m,Shrubland2014_500m,Forest2014_500m,Wetland2014_500m
1121195,12898-4-A-2015,12898,borealis,16,queen,4,A,50.601,-114.2356,0.2 km from Hartell,1228,16,7,29,7,312.5333333,0,0,0,0,0,6298.190323,0,4498.707374,20694.05392,0,0,7197.931798,3598.965899,0,6298.190323,69280.09355,0,26092.50277,84575.69863,899.7414747,0,54884.22996,144858.3774,0,76478.02535,231233.559,0,67480.61061,192544.6756,17095.08802,0
1121524,12898-5-A-2015,12898,borealis,22,queen,5,A,50.601,-114.2356,0.2 km from Hartell,1228,29,7,11,8,312.55,0,0,0,0,0,6298.190323,0,4498.707374,20694.05392,0,0,7197.931798,3598.965899,0,6298.190323,69280.09355,0,26092.50277,84575.69863,899.7414747,0,54884.22996,144858.3774,0,76478.02535,231233.559,0,67480.61061,192544.6756,17095.08802,0
1121527,12898-5-A-2015,12898,borealis,14,worker,5,A,50.601,-114.2356,0.2 km from Hartell,1228,29,7,11,8,312.55,0,0,0,0,0,6298.190323,0,4498.707374,20694.05392,0,0,7197.931798,3598.965899,0,6298.190323,69280.09355,0,26092.50277,84575.69863,899.7414747,0,54884.22996,144858.3774,0,76478.02535,231233.559,0,67480.61061,192544.6756,17095.08802,0
1121597,12898-5-A-2015,12898,borealis,20,queen,5,A,50.601,-114.2356,0.2 km from Hartell,1228,29,7,11,8,312.55,0,0,0,0,0,6298.190323,0,4498.707374,20694.05392,0,0,7197.931798,3598.965899,0,6298.190323,69280.09355,0,26092.50277,84575.69863,899.7414747,0,54884.22996,144858.3774,0,76478.02535,231233.559,0,67480.61061,192544.6756,17095.08802,0
1121528,12898-5-A-2015,12898,borealis,13,worker,5,A,50.601,-114.2356,0.2 km from Hartell,1228,29,7,11,8,312.55,0,0,0,0,0,6298.190323,0,4498.707374,20694.05392,0,0,7197.931798,3598.965899,0,6298.190323,69280.09355,0,26092.50277,84575.69863,899.7414747,0,54884.22996,144858.3774,0,76478.02535,231233.559,0,67480.61061,192544.6756,17095.08802,0
1121871,12898-5-A-2015,12898,borealis,20,queen,5,A,50.601,-114.2356,0.2 km from Hartell,1228,29,7,11,8,312.55,0,0,0,0,0,6298.190323,0,4498.707374,20694.05392,0,0,7197.931798,3598.965899,0,6298.190323,69280.09355,0,26092.50277,84575.69863,899.7414747,0,54884.22996,144858.3774,0,76478.02535,231233.559,0,67480.61061,192544.6756,17095.08802,0
1121533,12898-5-B-2015,12898,borealis,23,queen,5,B,50.601,-114.2356,0.2 km from Hartell,1228,29,7,11,8,312.55,0,0,0,0,0,6298.190323,0,4498.707374,20694.05392,0,0,7197.931798,3598.965899,0,6298.190323,69280.09355,0,26092.50277,84575.69863,899.7414747,0,54884.22996,144858.3774,0,76478.02535,231233.559,0,67480.61061,192544.6756,17095.08802,0
1121532,12898-5-B-2015,12898,borealis,21,queen,5,B,50.601,-114.2356,0.2 km from Hartell,1228,29,7,11,8,312.55,0,0,0,0,0,6298.190323,0,4498.707374,20694.05392,0,0,7197.931798,3598.965899,0,6298.190323,69280.09355,0,26092.50277,84575.69863,899.7414747,0,54884.22996,144858.3774,0,76478.02535,231233.559,0,67480.61061,192544.6756,17095.08802,0
1122004,18030-1-A-2015,18030,borealis,20,queen,1,A,50.7425,-114.2326,6.1 km from Black Diamond,1152,24,6,1,7,166.15,0,0,10796.8977,0,899.7414747,0,0,4498.707374,16195.34655,0,0,0,87274.92305,0,10796.8977,0,899.7414747,17095.08802,68380.35208,0,12596.38065,0,296914.6867,0,121465.0991,79177.24978,2699.224424,52185.00553,185346.7438,0,46786.55669
1115149,18030-1-A-2015,18030,borealis,20,queen,1,A,50.7425,-114.2326,6.1 km from Black Diamond,1152,24,6,1,7,166.15,0,0,10796.8977,0,899.7414747,0,0,4498.707374,16195.34655,0,0,0,87274.92305,0,10796.8977,0,899.7414747,17095.08802,68380.35208,0,12596.38065,0,296914.6867,0,121465.0991,79177.24978,2699.224424,52185.00553,185346.7438,0,46786.55669
1115028,18030-2-A-2015,18030,borealis,22,queen,2,A,50.7425,-114.2326,6.1 km from Black Diamond,1152,1,7,9,7,192.4166667,0,0,10796.8977,0,899.7414747,0,0,4498.707374,16195.34655,0,0,0,87274.92305,0,10796.8977,0,899.7414747,17095.08802,68380.35208,0,12596.38065,0,296914.6867,0,121465.0991,79177.24978,2699.224424,52185.00553,185346.7438,0,46786.55669
1122060,18030-4-A-2015,18030,borealis,17,worker,4,A,50.7425,-114.2326,6.1 km from Black Diamond,1152,16,7,29,7,301.5666667,0,0,10796.8977,0,899.7414747,0,0,4498.707374,16195.34655,0,0,0,87274.92305,0,10796.8977,0,899.7414747,17095.08802,68380.35208,0,12596.38065,0,296914.6867,0,121465.0991,79177.24978,2699.224424,52185.00553,185346.7438,0,46786.55669
