beetle_id,julian_emergence_date,sex,log_num,pre_flight_weight_mg,length_mm,width_mm,pre_flight_tarso,pre_flight_procto,preflight_total_mites,p_a_mites_preflight,post_flight_weight._mg,post_flight_tarso,post_flight_procto,post_flight_total_mites,p_a_mites_postflight,post_flight_tarso_lost,post_flight_procto_lost,post_flight_total_mite._lost,wet_weight_lost_mg,u_elytra_tarso,u_elytra_procto,total_u_elytra_mites,dry_weight_mg_post_flight,volume_mm3,condition_mg_incorrect,beettle_age_days,flight_mill,date_flight,month_flight,julian_flight_date,accumulated_intervals,counts_bout,time_bout,start_time,raw_num_this_file,raw_num_original_files,num_circunferences,distance_cm,speed,speed_km_hr,treatment,distance_km,distance_km.t
L1018J14-3,169,f,10,9.8,5.0625,2,0,0,0,0,9.03,0,0,0,0,0,0,0,0.77,0,0,0,3.68,10.60287521,-0.330609735,15,1,July 3 2014,July,184,2,14,32,102,1,5174,7,703.7167544,21.99114858,0.791681349,no mite,0.007037168,1.007037168
L1018J14-3,169,f,10,9.8,5.0625,2,0,0,0,0,9.03,0,0,0,0,0,0,0,0.77,0,0,0,3.68,10.60287521,-0.330609735,15,1,July 3 2014,July,184,1,7,16,2310,2,5311,3.5,351.8583772,21.99114858,0.791681349,no mite,0.003518584,1.003518584
L1018J14-3,169,f,10,9.8,5.0625,2,0,0,0,0,9.03,0,0,0,0,0,0,0,0.77,0,0,0,3.68,10.60287521,-0.330609735,15,1,July 3 2014,July,184,2,8,32,7430,3,5632,4,402.1238597,12.56637061,0.452389342,no mite,0.004021239,1.004021239
L1018J14-3,169,f,10,9.8,5.0625,2,0,0,0,0,9.03,0,0,0,0,0,0,0,0.77,0,0,0,3.68,10.60287521,-0.330609735,15,1,July 3 2014,July,184,2,8,32,8358,4,5690,4,402.1238597,12.56637061,0.452389342,no mite,0.004021239,1.004021239
L1018J14-3,169,f,10,9.8,5.0625,2,0,0,0,0,9.03,0,0,0,0,0,0,0,0.77,0,0,0,3.68,10.60287521,-0.330609735,15,1,July 3 2014,July,184,2,8,32,8630,5,5707,4,402.1238597,12.56637061,0.452389342,no mite,0.004021239,1.004021239
L1018J14-3,169,f,10,9.8,5.0625,2,0,0,0,0,9.03,0,0,0,0,0,0,0,0.77,0,0,0,3.68,10.60287521,-0.330609735,15,1,July 3 2014,July,184,2,7,32,9526,6,5763,3.5,351.8583772,10.99557429,0.395840674,no mite,0.003518584,1.003518584
L1018J14-3,169,f,10,9.8,5.0625,2,0,0,0,0,9.03,0,0,0,0,0,0,0,0.77,0,0,0,3.68,10.60287521,-0.330609735,15,1,July 3 2014,July,184,1,6,16,9782,7,5778,3,301.5928947,18.84955592,0.678584013,no mite,0.003015929,1.003015929
L1018J14-3,169,f,10,9.8,5.0625,2,0,0,0,0,9.03,0,0,0,0,0,0,0,0.77,0,0,0,3.68,10.60287521,-0.330609735,15,1,July 3 2014,July,184,2,7,32,10006,8,5793,3.5,351.8583772,10.99557429,0.395840674,no mite,0.003518584,1.003518584
L1018J14-3,169,f,10,9.8,5.0625,2,0,0,0,0,9.03,0,0,0,0,0,0,0,0.77,0,0,0,3.68,10.60287521,-0.330609735,15,1,July 3 2014,July,184,1,7,16,10230,9,5806,3.5,351.8583772,21.99114858,0.791681349,no mite,0.003518584,1.003518584
L1018J14-3,169,f,10,9.8,5.0625,2,0,0,0,0,9.03,0,0,0,0,0,0,0,0.77,0,0,0,3.68,10.60287521,-0.330609735,15,1,July 3 2014,July,184,2,7,32,10358,10,5815,3.5,351.8583772,10.99557429,0.395840674,no mite,0.003518584,1.003518584
L1018J14-3,169,f,10,9.8,5.0625,2,0,0,0,0,9.03,0,0,0,0,0,0,0,0.77,0,0,0,3.68,10.60287521,-0.330609735,15,1,July 3 2014,July,184,1,7,16,10550,11,5826,3.5,351.8583772,21.99114858,0.791681349,no mite,0.003518584,1.003518584
L1018J14-3,169,f,10,9.8,5.0625,2,0,0,0,0,9.03,0,0,0,0,0,0,0,0.77,0,0,0,3.68,10.60287521,-0.330609735,15,1,July 3 2014,July,184,1,8,16,10806,12,5842,4,402.1238597,25.13274123,0.904778684,no mite,0.004021239,1.004021239
