Strain,Genus,Cu ,Ag,Ga,Al,Ti
S. aureus ATCC 25923,Staphylococcus,0.95,1,0.8,0.8,2.05
CMRSA 1,Staphylococcus,1.3,0.5,0.8,0.9,2.5
CMRSA 5,Staphylococcus,0.9,0.3,2.1,0.9,2.1
CMRSA 10,Staphylococcus,1.1,0.25,0.9,0.8,2.4
MRSA TACC 33591,Staphylococcus,1.15,0.3,2.1,0.9,2.35
S. epidermidis ATCC 35984,Staphylococcus,0.9,0.5,1.15,1.2,1.3
P. aeruginosa ATCC 25923,Pseudomonas,0.6,0.4,0.85,0.8,1.65
P. aeruginosa F8035,Pseudomonas,0.85,0.4,0.85,0.8,2.4
P. aeruginosa TF-F7783,Pseudomonas,1.25,0.5,1,1.1,2.5
P. aeruginosa IM. 111008,Pseudomonas,1.15,0.65,1.1,1.1,2.5
E. coli ATCC 25922,Escherichia ,1.85,0.35,0.8,0.65,1.8
UPEC CFT073,Escherichia ,0.75,0.4,0.8,0.5,1.85
