ID,Size,Time
1,Small,110
1,Medium,153
1,Large,285
2,Small,120
2,Medium,173
2,Large,290
3,Small,120
3,Medium,172
3,Large,252
4,Small,129
4,Medium,164
4,Large,297
5,Small,143
5,Medium,190
5,Large,286
6,Small,155
6,Medium,136
6,Large,281
7,Small,113
7,Medium,141
7,Large,246
8,Small,105
8,Medium,126
8,Large,271
9,Small,135
9,Medium,147
9,Large,285
10,Small,154
10,Medium,149
10,Large,300
11,Small,149
11,Medium,163
11,Large,271
12,Small,109
12,Medium,178
12,Large,272
13,Small,122
13,Medium,166
13,Large,259
14,Small,96
14,Medium,148
14,Large,267
15,Small,131
15,Medium,164
15,Large,291
16,Small,151
16,Medium,171
16,Large,277
17,Small,123
17,Medium,154
17,Large,287
18,Small,107
18,Medium,139
18,Large,258
19,Small,112
19,Medium,170
19,Large,242
20,Small,120
20,Medium,179
20,Large,269
21,Small,116
21,Medium,136
21,Large,265
22,Small,85
22,Medium,166
22,Large,300
23,Small,80
23,Medium,161
23,Large,282
24,Small,140
24,Medium,141
24,Large,295
25,Small,135
25,Medium,142
25,Large,242
26,Small,99
26,Medium,154
26,Large,259
27,Small,151
27,Medium,167
27,Large,283
28,Small,124
28,Medium,163
28,Large,261
29,Small,134
29,Medium,179
29,Large,289
30,Small,126
30,Medium,130
30,Large,260
