ind_id,sex,maternal_parity,focal_id,focal_legnth,date_ymd,age_days,age_weeks_trunc,coat_color,bout_id,duration_adj_s,actor-receiver,behavior,overlap_id,drop_overlap,group_type,stability_group_type,behavior_type,event_type
B1,F,MP,1B1,600,6/18/16,183,26,BW,B1-1,600,B1-BL,INF,no_overlap,N,multi,UMM,mat_han,State start
B1,F,MP,1B1,600,6/18/16,183,26,BW,B1-1,NA,B1-BL,INF,no_overlap,N,multi,UMM,mat_han,State stop
B1,F,MP,2B1,600,6/18/16,183,26,BW,B1-2,600,B1-BL,INF,no_overlap,N,multi,UMM,mat_han,State start
B1,F,MP,2B1,600,6/18/16,183,26,BW,B1-2,NA,B1-BL,INF,no_overlap,N,multi,UMM,mat_han,State stop
B1,F,MP,3B1,600,6/20/16,185,26,BW,B1-3,600,B1-BL,INF,no_overlap,N,multi,UMM,mat_han,State start
B1,F,MP,3B1,600,6/20/16,185,26,BW,B1-3,NA,B1-BL,INF,no_overlap,N,multi,UMM,mat_han,State stop
B1,F,MP,4B1,600,6/22/16,187,26,BW,B1-4,600,B1-BL,INF,no_overlap,N,multi,UMM,mat_han,State start
B1,F,MP,4B1,600,6/22/16,187,26,BW,B1-4,NA,B1-BL,INF,no_overlap,N,multi,UMM,mat_han,State stop
B1,F,MP,5B1,549,6/23/16,188,26,BW,B1-5,2.417,B1-B2,IH,no_overlap,N,multi,UMM,nonmat_han,State start
B1,F,MP,5B1,549,6/23/16,188,26,BW,B1-5,NA,B1-B2,IH,no_overlap,N,multi,UMM,nonmat_han,State stop
B1,F,MP,6B1,600,6/24/16,189,27,BW,B1-6,9.101,B1-XNM,FY,no_overlap,N,multi,UMM,nonmat_han,State start
B1,F,MP,6B1,600,6/24/16,189,27,BW,B1-6,NA,B1-XNM,FY,no_overlap,N,multi,UMM,nonmat_han,State stop
B1,F,MP,9B1,600,6/25/16,190,27,BW,B1-7,600,B1-BL,INF,no_overlap,N,multi,UMM,mat_han,State start
B1,F,MP,9B1,600,6/25/16,190,27,BW,B1-7,NA,B1-BL,INF,no_overlap,N,multi,UMM,mat_han,State stop
B1,F,MP,12B1,600,6/29/16,194,27,BW,B1-8,428.052,B1-BL,INE,no_overlap,N,multi,UMM,mat_han,State start
B1,F,MP,12B1,600,6/29/16,194,27,BW,B1-8,NA,B1-BL,IN,no_overlap,N,multi,UMM,mat_han,State stop
B1,F,MP,13B1,573,6/29/16,194,27,BW,B1-9,6.8,B1-XNM,FY,no_overlap,N,multi,UMM,nonmat_han,State start
B1,F,MP,13B1,573,6/29/16,194,27,BW,B1-9,NA,B1-XNM,FY,no_overlap,N,multi,UMM,nonmat_han,State stop
B1,F,MP,13B1,573,6/29/16,194,27,BW,B1-10,10.301,B1-JK,FY,no_overlap,N,multi,UMM,nonmat_han,State start
B1,F,MP,13B1,573,6/29/16,194,27,BW,B1-10,NA,B1-JK,FY,no_overlap,N,multi,UMM,nonmat_han,State stop
B1,F,MP,14B1,571,7/2/16,197,28,BW,B1-11,28.536,B1-BL,IHF,no_overlap,N,multi,UMM,mat_han,State start
B1,F,MP,14B1,571,7/2/16,197,28,BW,B1-11,NA,B1-BL,IHF,no_overlap,N,multi,UMM,mat_han,State stop
B1,F,MP,14B1,571,7/2/16,197,28,BW,B1-11,11.735,B1-BL,ICOV,no_overlap,N,multi,UMM,mat_han,State start
B1,F,MP,14B1,571,7/2/16,197,28,BW,B1-11,NA,B1-BL,ICOV,no_overlap,N,multi,UMM,mat_han,State stop
B1,F,MP,14B1,571,7/2/16,197,28,BW,B1-12,4.017,B1-BL,ICOV,no_overlap,N,multi,UMM,mat_han,State start
B1,F,MP,14B1,571,7/2/16,197,28,BW,B1-12,NA,B1-BL,ICOV,no_overlap,N,multi,UMM,mat_han,State stop
B1,F,MP,14B1,571,7/2/16,197,28,BW,B1-12,16.634,B1-BL,IH,no_overlap,N,multi,UMM,mat_han,State start
B1,F,MP,14B1,571,7/2/16,197,28,BW,B1-12,NA,B1-BL,IH,no_overlap,N,multi,UMM,mat_han,State stop
B1,F,MP,14B1,571,7/2/16,197,28,BW,B1-13,22.613,B1-BL,FG,no_overlap,N,multi,UMM,mat_han,State start
B1,F,MP,14B1,571,7/2/16,197,28,BW,B1-13,NA,B1-BL,FG,no_overlap,N,multi,UMM,mat_han,State stop
B1,F,MP,14B1,571,7/2/16,197,28,BW,B1-14,25.619,B1-BL,IN,no_overlap,N,multi,UMM,mat_han,State start
B1,F,MP,14B1,571,7/2/16,197,28,BW,B1-14,NA,B1-BL,IN,no_overlap,N,multi,UMM,mat_han,State stop
B1,F,MP,15B1,600,7/4/16,199,28,BW,B1-15,600,B1-BL,INF,no_overlap,N,multi,UMM,mat_han,State start
