ind_id,age_weeks_trunc,sampling_s
U1,57,1200
U1,58,3000
U1,59,6000
U1,60,2372
U1,61,2990
U1,62,4120
U1,63,4783
U1,64,3577
U1,65,2400
U1,66,4800
U1,67,3568
U1,68,3587
U1,69,3600
U1,70,1200
U1,71,2385
U1,72,4800
U1,73,2400
U1,74,3000
U1,75,2945
U1,76,2964
U1,77,600
TE1,12,597
TE1,13,2400
TE1,14,5369
TE1,15,1200
TE1,16,3548
TE1,17,3600
TE1,18,4800
TE1,19,2993
TE1,20,3600
TE1,21,3595
TE1,22,4152
TE1,23,4741
TE1,24,4200
TE1,25,2397
TE1,26,1194
TE1,27,1800
TE1,28,3589
TE1,29,3000
TE1,30,2400
TE1,31,2997
TE1,32,3000
SU1,19,1787
SU1,20,4151
SU1,21,4157
SU1,22,3000
SU1,23,3598
SU1,24,4170
SU1,25,3588
SU1,26,2971
SU1,27,3567
SU1,28,4180
SU1,29,4200
SU1,30,4188
SU1,31,2986
SU1,32,1800
SU1,33,2382
SU1,34,4179
SU1,35,1800
SU1,36,2997
SU1,37,3000
SU1,38,2990
BG1,14,1165
BG1,15,5967
BG1,16,3000
BG1,17,2400
BG1,18,3593
BG1,19,3569
BG1,20,4793
BE1,16,2941
BE1,17,4737
BE1,18,2957
BE1,19,2400
BE1,20,4793
BE1,21,2986
BE1,22,4727
BE1,23,2362
BE1,24,4161
BE1,25,3598
BE1,26,5394
BE1,27,3590
BE1,28,2994
BE1,29,1800
BE1,30,1800
BE1,31,3000
BE1,32,3000
BE1,33,2365
BE1,34,3600
BE1,35,2386
B1,26,2949
B1,27,4761
B1,28,1731
B1,29,4142
B1,30,4148
B1,31,4195
B1,32,3000
B1,33,3000
B1,34,4800
B1,35,4767
B1,36,3579
B1,37,3600
B1,38,3599
B1,39,600
B1,40,2888
B1,41,1788
B1,42,2997
B1,43,3534
B1,44,3600
B1,45,1188
F3,0,7148
F3,1,7111
F3,2,2997
F3,3,6000
F3,4,6600
F3,5,7185
F3,6,3600
F3,7,5390
F3,8,6567
X4,28,2935
X4,29,3577
X4,30,3556
X4,31,2337
X4,32,3571
X4,33,3548
X4,34,5362
X4,35,2351
X4,36,4164
X4,37,4200
X4,38,3548
X4,39,3576
X4,40,2998
X4,41,1800
X4,42,3000
X4,43,2997
X4,44,2995
X4,45,3581
X4,46,1800
X4,47,3543
X4,48,586
I2,28,2369
I2,29,3000
I2,30,4147
I2,31,1769
I2,32,4156
I2,33,4800
I2,34,4129
I2,35,2363
I2,36,3567
I2,37,3585
I2,38,4166
I2,39,3584
I2,40,3000
I2,41,1800
I2,42,2992
I2,43,2978
I2,44,3000
I2,45,3589
I2,46,2387
I2,47,3597
I2,48,600
V6,20,2316
V6,21,4135
V6,22,2377
V6,23,2936
V6,24,4137
V6,25,3000
V6,26,5356
V6,27,2966
V6,28,3551
V6,29,4752
V6,30,3600
V6,31,4200
V6,32,2980
V6,33,1800
V6,34,2400
V6,35,3580
V6,36,1800
V6,37,4191
V6,38,2400
V6,39,2400
V6,40,1771
BY2,0,3542
BY2,1,6591
BY2,2,5923
BY2,3,10789
BY2,4,7162
BY2,5,4800
BY2,6,4185
BY2,7,4792
BY2,8,5387
BY2,9,5982
BY2,10,2400
BY2,11,3000
BY2,12,2974
L2,0,7200
L2,1,7793
L2,2,7794
L2,3,5397
L2,4,3600
G3,10,2300
G3,11,3566
G3,12,2989
G3,13,2369
G3,14,3000
G3,15,4200
G3,16,4185
G3,17,2924
G3,18,2927
G3,19,4186
G3,20,4122
G3,21,3000
G3,22,4794
G3,23,2395
G3,24,2386
G3,25,3000
G3,26,2400
G3,27,2996
G3,28,2400
G3,29,2981
G3,30,3000
S2,73,1190
S2,74,2996
S2,75,4779
S2,76,2400
S2,77,4200
S2,78,5995
C1,67,600
C1,68,3555
C1,69,1800
C1,70,4131
C1,71,3000
C1,72,3586
C1,73,5378
C1,74,587
X1,38,3570
X1,39,2955
X1,40,3600
X1,41,4782
X1,42,2978
X1,43,4736
X1,44,1787
X1,45,4753
X1,46,2997
X1,47,4795
X1,48,4197
X1,49,3000
X1,50,3000
X1,51,1800
X1,52,3000
X1,53,1800
X1,54,4145
X1,55,1800
X1,56,3575
X1,57,2382
