index,loc,locAKA,locWB,year,water.type,collector,station,lift,net.type,mesh.mm,mesh.in,spec,sample,fl,fl.thawed,wt,wt.thawed,wt.dressed,sex,mat,gonad.wt,gonad.prsrvd,oto.num,finclip,dnatissue,stomach.contents,stomach.prsvred,muscle.frozen,gillarch.frozen,life.hist,use,age,fecundity,egg.diam,lat,long,depthA,depthB,depth,net.len,net.height,wind.dir,wind.spd,temp.water,temp.air,sky,netset.time,netset.date,netlift.time,netlift.date,lake.zone,tag,remarks,edits
168,Naulineavik Lake,,PG008,2006,seawater,Pangnirtung Fish Plant,na,na,na,139.7,5.5,ARCH,117,620,na,na,na,2640,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,02-Aug-06,na,1051,,Sample # changed from PPS-06-## to ##
169,Naulineavik Lake,,PG008,2006,seawater,Pangnirtung Fish Plant,na,na,na,139.7,5.5,ARCH,118,630,na,na,na,2626,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,02-Aug-06,na,1052,,Sample # changed from PPS-06-## to ##
170,Naulineavik Lake,,PG008,2006,seawater,Pangnirtung Fish Plant,na,na,na,139.7,5.5,ARCH,119,590,na,na,na,2127,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,02-Aug-06,na,1053,HEAD MISSING,Sample # changed from PPS-06-## to ##
171,Naulineavik Lake,,PG008,2006,seawater,Pangnirtung Fish Plant,na,na,na,139.7,5.5,ARCH,120,610,na,na,na,2617,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,02-Aug-06,na,1054,CUT TOO FAR BACK OTOS WRECKED,Sample # changed from PPS-06-## to ##
172,Naulineavik Lake,,PG008,2006,seawater,Pangnirtung Fish Plant,na,na,na,139.7,5.5,ARCH,121,610,na,na,na,2458,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,02-Aug-06,na,1055,,Sample # changed from PPS-06-## to ##
173,Naulineavik Lake,,PG008,2006,seawater,Pangnirtung Fish Plant,na,na,na,139.7,5.5,ARCH,122,550,na,na,na,2508,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,02-Aug-06,na,1056,CUT TOO FAR BACK OTOS WRECKED,Sample # changed from PPS-06-## to ##
174,Naulineavik Lake,,PG008,2006,seawater,Pangnirtung Fish Plant,na,na,na,139.7,5.5,ARCH,123,620,na,na,na,2585,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,02-Aug-06,na,1057,,Sample # changed from PPS-06-## to ##
175,Naulineavik Lake,,PG008,2006,seawater,Pangnirtung Fish Plant,na,na,na,139.7,5.5,ARCH,124,570,na,na,na,2068,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,02-Aug-06,na,1058,,Sample # changed from PPS-06-## to ##
176,Naulineavik Lake,,PG008,2006,seawater,Pangnirtung Fish Plant,na,na,na,139.7,5.5,ARCH,125,650,na,na,na,2939,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,02-Aug-06,na,1059,,Sample # changed from PPS-06-## to ##
177,Naulineavik Lake,,PG008,2006,seawater,Pangnirtung Fish Plant,na,na,na,139.7,5.5,ARCH,126,560,na,na,na,1887,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,02-Aug-06,na,1060,,Sample # changed from PPS-06-## to ##
