target_id,test_stat,pval,qval,rss,sigma_sq,tech_var,mean_obs,var_obs,sigma_sq_pmax,smooth_sigma_sq,final_sigma_sq,degrees_free,site1_qval,CUSH_b,site2_qval,GLEN_b,site3_qval,H22X_b,site4_qval,UPHI_b
TRINITY_GG_101318_c24_g1_i6,28.28413785,1.09E-05,0.032842118,73.47427638,3.610200507,0.256866671,3.499286626,3.867067178,3.610200507,0.787770143,3.610200507,4,1,0.01112246,5.77E-05,-4.264573754,0.999991033,0.0459716,0.999992342,-0.440202826
TRINITY_GG_10141_c3_g1_i3,26.98635451,2.00E-05,0.03721157,67.31487563,2.319073278,1.223814913,2.906744993,3.542888191,2.319073278,1.082136805,2.319073278,4,0.178992393,-4.487411973,0.999864566,-0.191084718,0.999991033,-0.11635621,0.999992342,0.356974717
TRINITY_GG_104007_c8_g1_i1,28.81408441,8.53E-06,0.030162674,7.528997392,0.39470268,0.001560341,6.655018522,0.396263021,0.39470268,0.16167764,0.39470268,4,1,-0.141424545,0.000486107,1.400658271,0.999991033,0.656603189,0.999992342,0.309859853
TRINITY_GG_106013_c0_g1_i1,26.99160242,2.00E-05,0.03721157,31.30242461,1.642779207,0.004716825,6.045200354,1.647496032,1.642779207,0.196699918,1.642779207,4,1,-0.553373518,0.000486107,2.623006112,0.999991033,1.068085876,0.999992342,0.842484803
TRINITY_GG_115682_c5_g1_i4,26.08185131,3.05E-05,0.043417196,40.69673783,1.864432279,0.27750129,5.64343703,2.14193357,1.864432279,0.231858562,1.864432279,4,1,1.675686852,7.84E-07,3.861562964,0.830863534,1.818871043,0.416912864,1.959664204
TRINITY_GG_115799_c4_g1_i1,26.04100199,3.10E-05,0.043417196,62.74416652,3.301605597,0.000718957,8.728104299,3.302324554,3.301605597,0.127659108,3.301605597,4,1,0.472179321,0.000170625,3.990965015,0.066155911,3.142781204,0.81854817,1.995020165
TRINITY_GG_119711_c13_g2_i2,27.17892076,1.83E-05,0.03721157,13.86120588,0.720491876,0.009045276,7.147014202,0.729537152,0.720491876,0.143509857,0.720491876,4,0.602010386,-1.239488659,0.868552337,0.576175992,0.999991033,0.642612492,0.999992342,0.632808286
TRINITY_GG_123642_c0_g1_i1,26.23467942,2.84E-05,0.042658251,13.53633361,0.71104443,0.001394181,6.863995473,0.712438611,0.71104443,0.153008405,0.71104443,4,1,-0.820987277,4.81E-06,-2.103659678,0.043121067,-1.527653072,0.142854142,-1.299354773
TRINITY_GG_124338_c12_g1_i1,29.88996533,5.15E-06,0.023837221,23.11881094,1.215907973,0.00087155,7.458267945,1.216779523,1.215907973,0.135708253,1.215907973,4,1,-0.261443858,4.57E-05,2.335573789,0.999991033,0.573284052,0.999992342,-0.070939435
TRINITY_GG_125288_c0_g1_i1,30.28329122,4.29E-06,0.023837221,112.8376819,5.446359556,0.492465809,2.626728685,5.938825366,5.446359556,1.209759265,5.446359556,4,0.674433613,-3.259991849,0.999864566,-0.103426316,0.999991033,0.381478466,0.001357015,-4.895329757
TRINITY_GG_125949_c1_g1_i2,38.19610428,1.02E-07,0.003069331,16.55690259,0.868180732,0.003235194,6.363424121,0.871415926,0.868180732,0.17645126,0.868180732,4,1,0.379984968,1.22E-11,2.34025321,0.000288596,1.630398934,0.05863078,1.207175758
TRINITY_GG_126555_c17_g1_i1,26.42350318,2.60E-05,0.041087875,104.3574654,5.491215475,0.001282701,8.317686076,5.492498176,5.491215475,0.126388551,5.491215475,4,1,-0.503622709,0.000179882,5.075886056,0.999991033,2.045454905,0.999992342,1.261802015
TRINITY_GG_128075_c3_g1_i1,26.81568171,2.17E-05,0.03721157,74.66424624,3.451378747,0.478318423,3.429894369,3.929697171,3.451378747,0.819929036,3.451378747,4,0.499830771,3.033707207,5.21E-05,4.532045845,0.003357402,4.082557013,0.001357015,4.281052992
TRINITY_GG_128718_c15_g1_i3,28.47602481,9.99E-06,0.031606975,36.2631807,1.725429212,0.183159246,3.957775086,1.908588458,1.725429212,0.587520824,1.725429212,4,1,0.050966976,0.000523669,3.141720024,0.504715961,2.097309907,0.822657609,1.647753032
TRINITY_GG_129181_c8_g1_i1,28.58959621,9.47E-06,0.031606975,6.464364107,0.339912788,0.000316901,8.205308439,0.34022969,0.339912788,0.126670107,0.339912788,4,1,-0.0615402,0.000100189,1.299973272,0.999991033,0.246987305,0.999992342,0.102761701
TRINITY_GG_130136_c9_g1_i1,27.74631047,1.40E-05,0.03460134,30.18928729,1.588110144,0.000799714,7.673024061,1.588909858,1.588110144,0.131780335,1.588110144,4,1,-0.464206395,0.000179882,2.64246822,0.999991033,1.113695648,0.999992342,0.849815573
TRINITY_GG_130719_c6_g2_i1,29.02643144,7.72E-06,0.02901822,207.7337099,10.27067713,0.662676018,4.411097271,10.93335315,10.27067713,0.44960809,10.27067713,4,1,2.810274555,0.000170625,6.741510926,0.00051449,6.90157062,0.001036377,7.050847635
TRINITY_GG_132256_c2_g1_i2,31.18483634,2.81E-06,0.021096818,16.79935613,0.863603532,0.020573106,5.407905296,0.884176639,0.863603532,0.259718716,0.863603532,4,1,-0.166873413,0.000507526,1.874314604,0.043481203,1.613249295,0.736508037,1.023180338
TRINITY_GG_132376_c35_g1_i1,26.41155682,2.61E-05,0.041087875,4.686358783,0.246256621,0.000393841,7.753493547,0.246650462,0.246256621,0.130594938,0.246256621,4,1,-0.220198353,0.014326259,1.018547726,0.999991033,0.290718683,0.999992342,-0.031314768
