"gene_ID","description","organism","nomenclaturesymbol"
"XP_005171270.1","myeloid/lymphoid or mixed-lineage leukemia; translocated to, 1b","Danio rerio","mllt1b"
"NP_001076348.1","Williams Beuren syndrome chromosome region 22","Danio rerio","wbscr22"
"NP_001188489.1","si:ch211-253b8.2","Danio rerio","si:ch211-253b8.2"
"NP_001073496.1",NA,NA,NA
"NP_956861.2","dehydrogenase/reductase (SDR family) member 4","Danio rerio","dhrs4"
"XP_701366.4","ajuba LIM protein","Danio rerio","ajuba"
"XP_008321393.1","ajuba LIM protein","Cynoglossus semilaevis",""
"XP_688859.4","low density lipoprotein receptor-related protein 10","Danio rerio","lrp10"
"NP_001292511.1","apoptotic chromatin condensation inducer 1b","Danio rerio","acin1b"
"XP_005167303.1",NA,NA,NA
"XP_005170598.1","si:dkey-110c1.10","Danio rerio","si:dkey-110c1.10"
"NP_001243180.1","moesin b","Danio rerio","msnb"
"XP_700178.4","E3 ubiquitin/ISG15 ligase TRIM25-like","Danio rerio",""
"XP_013130809.1",NA,NA,NA
"NP_001292503.1","si:ch211-116o3.5","Danio rerio","si:ch211-116o3.5"
"XP_001919922.1","nestin","Danio rerio","nes"
"XP_009297145.1",NA,NA,NA
"XP_009297127.1","CD48 antigen-like","Danio rerio",""
"NP_775378.1","mediator complex subunit 29","Danio rerio","med29"
"XP_001334686.1","si:ch211-149e23.3","Danio rerio","si:ch211-149e23.3"
"XP_005162071.1","si:rp71-79p20.2","Danio rerio","si:rp71-79p20.2"
"NP_001070105.1","phosphoethanolamine methyltransferase","Danio rerio","pmt"
"XP_001344448.1","Lck interacting transmembrane adaptor 1","Danio rerio",""
"XP_002662616.2","inhibin beta B chain-like","Danio rerio",""
"XP_008305632.1","uncharacterized LOC103376870","Cynoglossus semilaevis",""
"XP_006012006.1",NA,NA,NA
"XP_005986824.1","uncharacterized LOC102345882","Latimeria chalumnae",""
"XP_013856445.1","uncharacterized LOC106512356","Austrofundulus limnaeus",""
"XP_013860134.1","uncharacterized LOC106515067","Austrofundulus limnaeus",""
"XP_692250.4","failed axon connections homolog b","Danio rerio","faxcb"
"XP_012680016.1","coenzyme Q3, methyltransferase","Clupea harengus",""
"XP_005155670.1","KIAA1958 ortholog","Danio rerio",""
"XP_005155671.1","KIAA1958 ortholog","Danio rerio",""
"XP_007245359.1","branched chain ketoacid dehydrogenase kinase","Astyanax mexicanus",""
"NP_998225.2","branched chain ketoacid dehydrogenase kinase","Danio rerio","bckdk"
"NP_001277346.1","zinc finger protein 219","Danio rerio","znf219"
"XP_001919604.4","Rho guanine nucleotide exchange factor (GEF) 40","Danio rerio","arhgef40"
"XP_005159911.2","piggyBac transposable element-derived protein 4-like","Danio rerio",""
"XP_012679809.1","uncharacterized LOC105897424","Clupea harengus",""
"XP_005174532.2","adhesion G-protein coupled receptor G2-like","Danio rerio",""
"XP_010893018.1","short transient receptor potential channel 5","Esox lucius",""
"XP_013996480.1","E3 ubiquitin-protein ligase RNF126-like","Salmo salar",""
"NP_001138278.1","maturin, neural progenitor differentiation regulator homolog (Xenopus)","Danio rerio","mturn"
"NP_999975.1","carboxypeptidase E","Danio rerio","cpe"
"XP_005156068.1","interferon regulatory factor 3","Danio rerio","irf3"
"XP_014070429.1","V-set and transmembrane domain-containing protein 5-like","Salmo salar",""
"NP_958887.1","nucleobindin 2b","Danio rerio","nucb2b"
"NP_001071042.1","mediator complex subunit 17","Danio rerio","med17"
"XP_001344452.4","growth regulation by estrogen in breast cancer-like","Danio rerio","greb1l"
"XP_013880580.1","importin 5","Austrofundulus limnaeus",""
"NP_001188367.2","si:dkey-172m14.1","Danio rerio","si:dkey-172m14.1"
"XP_690040.5","glutamate receptor, ionotropic, kainate 1b","Danio rerio","grik1b"
"NP_956253.1","neurensin 1","Danio rerio","nrsn1"
"NP_001133941.1","KDEL motif containing 2","Salmo salar",""
"NP_001002718.1",NA,NA,NA
"XP_007231764.1","ubiquitin domain containing 2","Astyanax mexicanus",""
"NP_001092215.1","KDEL (Lys-Asp-Glu-Leu) containing 2","Danio rerio","kdelc2"
"XP_006784976.1","ubiquitin domain-containing protein 2-like","Neolamprologus brichardi",""
"NP_001082940.1","adrenoceptor beta 2, surface b","Danio rerio","adrb2b"
"XP_007241775.1","putative nuclease HARBI1-like","Astyanax mexicanus",""
"XP_009302611.1","matrix metallopeptidase 23ba","Danio rerio","mmp23ba"
"XP_009294761.1",NA,NA,NA
"NP_001107117.2","zgc:171887","Danio rerio","zgc:171887"
"XP_009294214.1",NA,NA,NA
"XP_009301803.1",NA,NA,NA
"NP_001038809.1","N-acetyltransferase 14 (GCN5-related, putative)","Danio rerio","nat14"
"XP_014022595.1","ruvB-like 1","Salmo salar",""
"XP_012692189.1","RuvB like AAA ATPase 1","Clupea harengus",""
"XP_005173186.1","family with sequence similarity 13, member B","Danio rerio","fam13b"
"XP_005173185.1","family with sequence similarity 13, member B","Danio rerio","fam13b"
"XP_005173187.1","family with sequence similarity 13, member B","Danio rerio","fam13b"
"NP_001116483.1",NA,NA,NA
"XP_009291018.1",NA,NA,NA
"XP_009303416.1","si:ch211-193e13.5","Danio rerio","si:ch211-193e13.5"
"XP_010753248.1",NA,NA,NA
"XP_014014752.1","cyclin-dependent kinase 14","Salmo salar",""
"XP_005166173.1","si:dkeyp-111e5.4","Danio rerio","si:dkeyp-111e5.4"
"XP_700123.5","finTRIM family, member 13","Danio rerio","ftr13"
"XP_012993479.1","beta-secretase 1","Esox lucius",""
"XP_698650.1","si:dkey-7l6.3","Danio rerio","si:dkey-7l6.3"
"NP_956914.1","cytochrome P450, family 2, subfamily P, polypeptide 9","Danio rerio","cyp2p9"
"XP_698555.6",NA,NA,NA
"NP_001002123.1","v-ral simian leukemia viral oncogene homolog Bb (ras related)","Danio rerio","ralbb"
"NP_956145.1","GTP binding protein 4","Danio rerio","gtpbp4"
"YP_009172444.1","cytochrome c oxidase subunit III","Pimephales promelas",""
"YP_003345202.1","cytochrome b","Culter alburnus",""
"YP_163990.1","ATP synthase F0 subunit 6","Anguilla nebulosa nebulosa",""
