WBC ,Neutrophils,Lymphocytes ,Monocytes ,Eosinophils,Basophils,Glucose,Urea,Creatinine,Na,K,Cl,Calcium,Phosphorus,Total Protein,Albumin ,Globulin ,ALP ,ALT ,GGT ,CK  ,Osmolality 
10.8,4.752,3.024,0.756,2.268,0,6,12.8,306,162,6.9,118,3.01,3.03,84,50,34,166,15,36,141,333
13.2,5.016,4.752,1.056,2.376,0,5.9,12.4,388,166,5.7,119,2.91,2.63,86,51,35,181,15,36,161,337.7
8,3.28,3.04,0,1.68,0,5.8,12.2,177,161,6.8,117,2.86,2.22,90,51,39,110,14,25,65,330.1
10.6,4.452,3.392,0.742,2.014,0,6.6,17.8,215,151,5.2,117,2.31,2,64,37,27,74,11,12,127,314.9
7.4,3.034,3.626,0.148,0.592,0,5.1,13.9,288,159,5.3,119,2.46,2.35,68,43,25,93,11,16,99,324.6
4.8,NA,NA,NA,NA,NA,5,13.3,123,185,6.6,164,3.61,1.7,54,37,17,94,21,25,128,374.7
NA,NA,NA,NA,NA,NA,5.7,13.6,249,165,6,119,2.71,3.02,84,54,30,91,19,43,117,337.4
7.8,3.276,3.198,0.156,1.17,0,5.3,14.4,266,165,7,125,2.57,1.85,78,50,28,152,11,29,128,339.6
NA,NA,NA,NA,NA,NA,5.4,14.8,316,163,4.3,120,2.64,2.16,73,46,27,151,10,30,115,331.4
3.2,NA,NA,NA,NA,NA,6.9,14.6,160,155,3.1,115,2.37,2.22,67,52,15,379,15,20,319,315.6
8.6,3.87,3.096,0,1.634,0,6.9,12.6,266,172,6.7,126,2.83,2.46,87,56,31,210,13,28,96,351.9
8,3.68,3.36,0.56,0.4,0,6.2,15.3,329,168,6.8,124,2.74,2.66,88,53,35,139,12,27,77,346.6
9.8,3.43,4.41,0.196,1.568,0.196,5.7,16.4,307,163,4.5,119,2.49,2.61,73,42,31,113,21,230,148,333.7
10.2,4.386,3.672,0.306,1.836,0,5.2,18.3,286,158,7.5,120,2.13,1.83,85,46,39,99,21,25,201,331.3
5.8,3.422,1.116,0.232,0.986,0,6.1,17.6,330,164,4.4,120,2.45,2.16,84,49,35,52,10,23,49,336.9
6,4.68,0.72,0.12,0.42,0.6,5.5,18.3,350,159,4.4,119,1.97,1.61,69,43,26,50,16,20,89,327.7
9.4,5.264,2.256,0.094,1.786,0,5.8,12.2,347,165,6.3,117,2.82,2.62,95,57,38,161,16,52,84,336.6
NA,NA,NA,NA,NA,NA,4.7,9.4,166,NA,NA,NA,5.51,1.29,41,26,15,63,11,16,41,NA
11,4.62,4.62,0.33,1.43,0,6.1,12.5,202,153,10.3,110,2.56,2.52,100,63,37,323,13,37,207,322.3
NA,NA,NA,NA,NA,NA,6.4,12.8,238,164,3.9,116,2.98,2.8,87,54,33,268,11,33,256,331.5
6.6,NA,NA,NA,NA,NA,6.1,10.9,283,156,5.5,119,1.71,1.46,74,44,30,53,12,23,68,317.4
10.2,5.51,2.45,0.1,2.14,0,6.9,17.4,309,181,4.6,127,2.8,2.35,80,43,37,107,4,19,151,370
10.2,4.79,4.49,0,0.92,0,9.3,20.2,314,200,4.6,158,4.08,3.66,103,56,47,393,4,36,264,NA
4.6,1.43,2.07,0.046,1.058,0,11.4,27.3,526,200,6.6,200,4.63,3.83,123,59,64,183,9,30,184,NA
8.4,3.95,3.44,0.17,0.84,0,6.7,15.4,338,173,7,117,2.71,2.34,76,43,33,80,7,18,61,357
15.4,6.93,4.62,0,3.7,0.15,9.7,25.8,305,200,6.5,162,3.5,3.13,86,48,38,89,4,21,156,NA
11.8,4.01,6.25,0,1.53,0,8.8,18.4,177,200,9,148,3.52,3.5,91,55,36,389,8,20,324,NA
11.6,4.52,4.87,0,2.09,0.12,9.5,20.1,297,200,8,143,3.34,3.17,94,58,36,92,7,NA,106,NA
10.6,6.36,3.39,0.11,0.74,0,9,20.1,359,200,4.9,143,3.53,2.89,99,50,49,102,4,23,98,NA
11,4.29,4.84,0.11,1.76,0,7,17.1,261,183,4.1,125,3.04,2.83,83,44,39,110,5,25,139,372
10.6,5.3,3.5,0.42,1.38,0,6.3,17.4,208,169,5.1,118,2.81,2.31,77,45,32,183,3,22,145,348
8,4.16,2.8,0.24,0.8,0,4,13.9,197,131,6.3,96,2.16,2.06,57,40,17,121,2,15,95,273
13.6,5.03,7.07,0.54,0.95,0,6.2,15.7,198,180,6.1,123,3.24,2.81,89,50,39,146,2,36,174,368
10.2,5.2,3.37,0.31,1.33,0,7.4,22.8,407,200,7,161,3.59,3.05,102,56,46,63,26,28,99,NA
